"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
595,2.050907709,595,0.040745269,8605.380689676635,,
600,2.049893305,600,0.040131802,8405.184955901344,,
605,2.048909495,605,0.039538115,8212.406718729811,,
610,2.047954872,610,0.038962429,8026.497095895994,,
615,2.047028249,615,0.038404743,7847.288355889695,,
620,2.046128813,620,0.037864244,7674.453598976219,,
625,2.045255377,625,0.037339339,7507.519557907126,,
630,2.044406723,630,0.036829434,7346.22725652509,,
635,2.043581881,635,0.036334528,7190.44322749308,,
640,2.042780414,640,0.035854217,7039.959045463393,,
645,2.042000759,645,0.035387093,6894.377141128608,,
650,2.041242885,650,0.034932375,6753.433395227309,,
655,2.040505012,655,0.034490657,6617.135551064757,,
660,2.039786732,660,0.034061127,6485.223415526603,,
665,2.039087858,665,0.033642596,6357.373379927179,,
670,2.038407766,670,0.033234659,6233.418540833546,,
675,2.037744673,675,0.032837129,6113.23752482254,,
680,2.03709858,680,0.032450192,5996.78145851637,,
685,2.036469082,685,0.032072849,5883.785506458087,,
690,2.035855583,690,0.031704912,5774.140209965849,,
695,2.035257678,695,0.031346163,5667.733835915293,,
700,2.034674366,700,0.030995413,5564.283530044662,,
705,2.034105461,705,0.03065307,5463.79912181411,,
710,2.033550743,710,0.030319321,5366.2510487566615,,
715,2.033009025,715,0.029993165,5271.401780246517,,
720,2.032480307,720,0.029674416,5179.162628064856,,
725,2.031964183,725,0.02936326,5089.511829045353,,
730,2.031460059,730,0.029058698,5002.2242279279135,,
735,2.030967528,735,0.028760948,4917.288867868194,,
740,2.030486404,740,0.02846998,4834.652973829639,,
745,2.030016468,745,0.028184824,4754.106632006512,,
750,2.029556937,750,0.027906262,4675.739076712108,,
755,2.029108,755,0.027633294,4599.340578801955,,
760,2.028669063,760,0.027365732,4524.841190068796,,
765,2.028240127,765,0.027104169,4452.301082983331,,
770,2.027820377,770,0.026848201,4381.616157075436,,
775,2.02740944,775,0.026597233,4312.6540283156655,,
780,2.027008097,780,0.026350858,4245.315995312197,,
785,2.026615348,785,0.026109296,4179.606242242108,,
790,2.026230598,790,0.025872921,4115.553343823245,,
795,2.025853849,795,0.025640953,4053.0027459542735,,
800,2.0254851,800,0.025413578,3991.9554973115596,,
805,2.025123944,805,0.025190203,3932.291015514811,,
810,2.024770194,810,0.024971235,3874.046835904411,,
815,2.024424039,815,0.024756454,3817.1628964580937,,
820,2.024084883,820,0.024545485,3761.5568465755346,,
825,2.023752321,825,0.024338704,3707.2627240871034,,
830,2.023426165,830,0.02413533,3654.1385744561608,,
835,2.023107009,835,0.023935549,3602.1913723611265,,
840,2.022794041,840,0.023739174,3551.3721257471343,,
845,2.022486885,845,0.023546393,3501.688770051509,,
850,2.022186323,850,0.023357018,3453.0934662853915,,
855,2.021891355,855,0.023171237,3405.594757136281,,
860,2.021601792,860,0.02298805,3359.027395365342,,
865,2.021317824,865,0.022807675,3313.406900599472,,
870,2.021039262,870,0.022630894,3268.829900439969,,
875,2.020766294,875,0.022457113,3225.1931987033527,,
880,2.020497919,880,0.022286332,3182.480767575596,,
885,2.020234357,885,0.022118145,3140.619292340511,,
890,2.019976388,890,0.021952364,3099.567886351867,,
895,2.019723014,895,0.021789176,3059.339229022348,,
900,2.019474045,900,0.021628801,3019.9503256691364,,
905,2.019229671,905,0.021471208,2981.382953215399,,
910,2.018989296,910,0.021315427,2943.4896207177817,,
915,2.018753327,915,0.021162646,2906.4224351528487,,
920,2.018521953,920,0.021012052,2870.0568782629007,,
925,2.018294578,925,0.020863271,2834.330763392561,,
930,2.018070797,930,0.02071749,2799.3941670890326,,
935,2.017850829,935,0.020573896,2765.1251563345645,,
940,2.017635048,940,0.020431709,2731.4088040291263,,
945,2.017422673,945,0.020291928,2698.369182305737,,
950,2.017214298,950,0.020154334,2665.966637153473,,
955,2.017009517,955,0.020018553,2634.1419493318504,,
960,2.016807736,960,0.019884959,2602.9350463055935,,
