"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1135,2.09615,1135,7.80373e-10,0.00008640049634748292,,
1140,2.09494,1140,7.80373e-10,0.00008602154680209923,,
1145,2.09376,1145,7.80373e-10,0.00008564590685973199,,
1150,2.0926,1150,7.80373e-10,0.0000852735333516462,,
1155,2.09145,1155,7.80373e-10,0.00008490438385661742,,
1160,2.09032,1160,7.80373e-10,0.00008453841668482165,,
1165,2.08921,1165,7.80373e-10,0.00008417559086214,,
1170,2.08812,1170,7.80373e-10,0.00008381586611486591,,
1175,2.08705,1175,7.80373e-10,0.00008345920285480265,,
1180,2.08599,1180,7.80373e-10,0.00008310556216473993,,
1185,2.08495,1185,7.80373e-10,0.00008275490578429799,,
1190,2.08392,1190,7.80373e-10,0.00008240719609612867,,
1195,2.08291,1195,7.80373e-10,0.00008206239611246286,,
1200,2.08192,1200,5.55404e-8,0.005816177087247952,,
1205,2.08094,1205,6.54206e-8,0.006822402534553907,,
1210,2.07998,1210,7.19513e-8,0.007472452082520175,,
1215,2.07902,1215,7.43853e-8,0.007693442370866596,,
1220,2.07809,1220,7.19752e-8,0.007413664247890364,,
1225,2.07716,1225,6.39737e-8,0.006562589581810853,,
1230,2.07625,1230,4.96335e-8,0.00507083703973818,,
1235,2.07535,1235,2.82071e-8,0.002870128522723001,,
1240,2.07446,1240,0,0,,
1245,2.0735,1245,0,0,,
1250,2.07254,1250,0,0,,
1255,2.07158,1255,0,0,,
1260,2.07062,1260,0,0,,
1265,2.06966,1265,0,0,,
1270,2.0687,1270,0,0,,
1275,2.06774,1275,0,0,,
1280,2.06678,1280,0,0,,
1285,2.06583,1285,0,0,,
1290,2.06487,1290,0,0,,
1295,2.06391,1295,0,0,,
1300,2.06295,1300,0,0,,
