"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
561.01447,3.042807,561.01447,0.361134,80891.7403760724,,,
563.5645,3.040907,563.5645,0.36029,80337.52425228109,,,
566.1379,3.039108,566.1379,0.359436,79782.7876943551,,,
568.73486,3.037409,568.73486,0.35857,79227.1377771844,,,
571.3558,3.03581,571.3558,0.357691,78670.37792249149,,,
574.0009,3.034311,574.0009,0.356796,78111.91184057195,,,
576.6707,3.032909,576.6707,0.355884,77551.54266933622,,,
579.3654,3.031606,579.3654,0.354953,76988.90801346839,,,
582.08545,3.030399,582.08545,0.354001,76423.62068754273,,,
584.8311,3.029289,584.8311,0.353025,75855.11417115381,,,
587.60284,3.028275,587.60284,0.352024,75283.23125785391,,,
590.40094,3.027357,590.40094,0.350996,74707.63546138005,,,
593.2258,3.026534,593.2258,0.349937,74127.55874200018,,,
596.0779,3.025806,596.0779,0.348847,73543.0837094842,,,
598.95746,3.025173,598.95746,0.347722,72953.48692653733,,,
601.86505,3.024634,601.86505,0.34656,72358.43649855253,,,
604.80096,3.024189,604.80096,0.345358,71757.43607671944,,,
607.7657,3.023838,607.7657,0.344114,71150.18267055202,,,
610.7596,3.023581,610.7596,0.342825,70536.19797163538,,,
613.78314,3.023417,613.78314,0.341488,69914.99910467214,,,
616.8368,3.023347,616.8368,0.3401,69286.11661858622,,,
619.92096,3.023371,619.92096,0.338658,68649.10551689766,,,
623.0362,3.023487,623.0362,0.337158,68003.30997775267,,,
626.1828,3.023697,626.1828,0.335597,67348.32510677545,,,
629.3614,3.024001,629.3614,0.333972,66683.71982804731,,,
632.57245,3.024397,632.57245,0.332278,66008.69979396096,,,
635.8164,3.024887,635.8164,0.330512,65322.8869921109,,,
639.0938,3.02547,639.0938,0.328668,64625.31630067763,,,
642.40515,3.026145,642.40515,0.326744,63915.83566878587,,,
645.75104,3.026915,645.75104,0.324732,63193.12567180818,,,
649.1319,3.027777,649.1319,0.32263,62457.07769577647,,,
652.5484,3.028732,652.5484,0.320431,61706.60601312828,,,
656.00104,3.029779,656.00104,0.318128,60940.67092949815,,,
659.4904,3.03092,659.4904,0.315717,60158.826136872274,,,
663.0171,3.032153,663.0171,0.313191,59360.070488103,,,
666.5817,3.033478,666.5817,0.310541,58543.060767400486,,,
670.1849,3.034895,670.1849,0.307761,57707.0415439947,,,
673.82715,3.036404,673.82715,0.304842,56850.74504377687,,,
677.5093,3.038003,677.5093,0.301775,55972.906824278856,,,
681.2319,3.039692,681.2319,0.298551,55072.32578638119,,,
684.99554,3.041471,684.99554,0.295157,54147.10074495391,,,
688.8011,3.043336,688.8011,0.291583,53195.90870059137,,,
692.6492,3.045289,692.6492,0.287816,52216.945096340256,,,
696.5404,3.047325,696.5404,0.283841,51208.10223714694,,,
700.4757,3.049443,700.4757,0.279642,50167.122304751305,,,
704.4557,3.05164,704.4557,0.275203,49091.84342157338,,,
708.48114,3.053912,708.48114,0.270501,47978.91751295978,,,
712.55286,3.056253,712.55286,0.265516,46825.61319088929,,,
716.6717,3.058658,716.6717,0.260222,45628.229690244116,,,
720.8384,3.060637,720.8384,0.254664,44395.55670362684,,,
725.0538,3.063105,725.0538,0.248666,43097.893083109666,,,
729.3188,3.065432,729.3188,0.242286,41746.567765298605,,,
733.6343,3.067914,733.6343,0.235425,40325.78359389015,,,
738.00116,3.07037,738.00116,0.228055,38832.23774956778,,,
742.42035,3.072759,742.42035,0.220111,37256.47340212606,,,
746.89276,3.075024,746.89276,0.211515,35587.11535102015,,,
751.4194,3.077079,751.4194,0.20217,33809.92222326165,,,
756.0012,3.078792,756.0012,0.191963,31908.39118038741,,,
760.6392,3.079947,760.6392,0.180758,29862.67365013972,,,
765.33453,3.080168,765.33453,0.168418,27653.30614481936,,,
770.0882,3.078751,770.0882,0.154895,25275.90964659846,,,
774.90125,3.074293,774.90125,0.140667,22811.598964514018,,,
779.77484,3.064388,779.77484,0.129013,20790.939754741503,,,
784.7101,3.055645,784.7101,0.134139,21481.05890110915,,,
