"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
885.71,3.15,885.71,3.4,482388.8190132344,,
901.82,3.053,901.82,3.4664,483023.96373571927,,
918.52,2.9569,918.52,3.5463,485173.10575384245,,
935.85,2.8623,935.85,3.638,488501.9639369415,,
953.85,2.77,953.85,3.74,492721.3513414406,,
972.55,2.6828,972.55,3.8465,497008.32418006845,,
992,2.5988,992,3.9619,501882.0941232823,,
1012.24,2.5178,1012.24,4.0863,507290.36830648745,,
1033.33,2.44,1033.33,4.22,513196.0166896897,,
1055.32,2.3649,1055.32,4.3654,519816.11530079535,,
1078.26,2.2931,1078.26,4.5194,526704.6478079021,,
1102.22,2.2248,1102.22,4.6812,533701.9299226847,,
1127.27,2.16,1127.27,4.85,540659.269559573,,
1153.49,2.099,1153.49,5.0251,547445.3092286563,,
1180.95,2.0419,1180.95,5.2056,553922.6797926086,,
1209.76,1.9888,1209.76,5.3909,559979.2301361334,,
1240,1.94,1240,5.58,565486.6776461628,,
