l,a
1046.99,0
1050.35,0
1053.71,0
1057.07,0
1060.42,0
1063.78,0
1067.14,0
1070.5,0
1073.86,0
1077.22,0
1080.58,0
1083.94,0
1087.3,0
1090.66,0
1094.03,0
1097.39,0
1100.75,0
1104.11,0
1107.48,0
1110.84,0
1114.21,0
1117.57,0
1120.94,0
1124.3,0
1127.67,0
1131.03,0
1134.4,0
1137.77,0
1141.13,0
1144.5,0
1147.87,0
1151.24,0
1154.61,0
1157.98,0
1161.35,0
1164.72,0
1168.1,0
1171.47,0
1174.84,0
1178.21,0
1181.59,0
1184.96,0
1188.34,0
1191.71,0
1195.09,0
1198.47,0
1201.84,0
1205.22,0
1208.6,0
1211.98,0
1215.36,0
1218.74,0
1222.12,0
1225.5,0
1228.89,0
1232.27,0
1235.65,0
1239.04,0
1242.42,0
1245.81,0
1249.19,0
1252.58,0
1255.97,0
1259.36,0
1262.75,0
1266.14,0
1269.53,0
1272.92,0
1276.31,0
1279.71,0
1283.1,0
1286.5,0
1289.89,0
1293.29,0
1296.68,0
1300.08,0
1303.48,0
1306.88,0
1310.28,0
1313.68,0
1317.08,0
1320.49,0
1323.89,0
1327.29,0
1330.7,0
1334.11,0
1337.51,0
1340.92,0
1344.33,0
1347.74,0
1351.15,0
1354.56,0
1357.97,0
1361.39,0
1364.8,0
1368.22,0
1371.63,0
1375.05,0
1378.47,0
1381.89,0
1385.31,0
1388.73,0
1392.15,0
1395.57,0
1399,0
1402.42,0
1405.85,0
1409.28,0
1412.7,0
1416.13,0
1419.56,0
1422.99,0
1426.43,0
1429.86,0
1433.3,0
1436.73,0
1440.17,0
1443.61,0
1447.04,0
1450.48,0
1453.93,0
1457.37,0
1460.81,0
1464.26,0
1467.7,0
1471.15,0
1474.6,0
1478.05,0
1481.49,0
1484.95,0
1488.4,0
1491.85,0
1495.31,0
1498.76,0
1502.22,0
1505.68,0
1509.14,0
1512.6,0
1516.06,0
1519.53,0
1522.99,0
1526.46,0
1529.93,0
1533.4,0
1536.87,0
1540.34,0
1543.81,0
1547.28,0
1550.76,0
1554.24,0
1557.71,0
1561.19,0
1564.67,0
1568.16,0
1571.64,0
1575.12,0
1578.61,0
1582.1,0
1585.59,0
1589.08,0
1592.57,0
1596.06,0
1599.56,0
1603.05,0
1606.55,0
1610.05,0
1613.55,0
1617.05,0
1620.55,0
1624.06,0
1627.57,0
1631.07,0
1634.58,0
1638.09,0
1641.61,0
1645.12,0
1648.63,0
